District,City,year,pm25,pm10,so2,o3,no2,co
경기도,용인,2018,24.83,42.67,0.0,0.02,0.03,0.52
경기도,용인,2019,26.25,44.17,0.0,0.02,0.03,0.54
경기도,용인,2020,22.08,38.58,0.0,0.03,0.02,0.48
경기도,용인,2021,20.42,40.25,0.0,0.03,0.02,0.49
경기도,용인,2022,20.0,34.82,0.0,0.03,0.02,0.43
경기도,의왕,2015,27.0,50.67,0.0,0.02,0.04,0.67
경기도,의왕,2016,26.25,49.67,0.0,0.02,0.04,0.68
경기도,의왕,2017,25.58,49.42,0.0,0.02,0.03,0.62
경기도,의왕,2018,25.08,43.5,0.0,0.02,0.03,0.58
경기도,의왕,2019,26.75,44.0,0.0,0.02,0.03,0.61
경기도,의왕,2020,22.08,36.5,0.0,0.03,0.02,0.46
경기도,의왕,2021,17.58,38.0,0.0,0.03,0.02,0.52
경기도,의왕,2022,16.18,33.0,0.0,0.03,0.02,0.44
경기도,의정부,2015,46.0,55.08,0.0,0.03,0.03,0.52
경기도,의정부,2016,34.33,49.25,0.0,0.02,0.02,0.51
경기도,의정부,2017,25.92,54.08,0.0,0.03,0.02,0.46
경기도,의정부,2018,23.42,45.83,0.0,0.03,0.02,0.46
경기도,의정부,2019,23.5,43.0,0.0,0.03,0.02,0.57
경기도,의정부,2020,20.0,36.42,0.0,0.03,0.02,0.53
경기도,의정부,2021,18.75,36.5,0.0,0.03,0.02,0.48
경기도,의정부,2022,17.73,31.18,0.0,0.03,0.02,0.31
경기도,이천,2015,28.06,57.82,0.0,0.03,0.02,0.45
경기도,이천,2016,28.54,57.25,0.0,0.02,0.02,0.48
경기도,이천,2017,27.3,54.17,0.0,0.03,0.02,0.43
경기도,이천,2018,27.42,46.17,0.0,0.02,0.02,0.42
경기도,이천,2019,28.0,45.92,0.0,0.03,0.02,0.51
경기도,이천,2020,23.92,38.83,0.0,0.03,0.02,0.46
경기도,이천,2021,22.0,40.58,0.0,0.03,0.02,0.39
경기도,이천,2022,21.46,36.36,0.0,0.03,0.01,0.29
경기도,파주,2015,28.06,57.5,0.0,0.03,0.02,0.62
경기도,파주,2016,30.54,57.75,0.0,0.03,0.02,0.6
경기도,파주,2017,29.17,52.25,0.0,0.03,0.02,0.57
경기도,파주,2018,25.58,44.42,0.0,0.02,0.02,0.55
경기도,파주,2019,28.08,48.5,0.0,0.03,0.02,0.55
경기도,파주,2020,22.58,38.92,0.0,0.03,0.02,0.48
경기도,파주,2021,21.67,42.42,0.0,0.03,0.02,0.49
경기도,파주,2022,18.82,35.09,0.0,0.03,0.01,0.43
경기도,평택,2015,28.06,61.75,0.01,0.03,0.02,0.47
경기도,평택,2016,28.54,63.08,0.01,0.03,0.02,0.45
경기도,평택,2017,32.5,61.92,0.01,0.03,0.02,0.49
경기도,평택,2018,30.08,54.58,0.0,0.03,0.02,0.46
경기도,평택,2019,29.25,53.33,0.0,0.03,0.02,0.4
경기도,평택,2020,22.25,41.75,0.0,0.03,0.02,0.42
경기도,평택,2021,24.08,46.0,0.0,0.03,0.02,0.42
경기도,평택,2022,23.0,40.82,0.0,0.03,0.02,0.33
경기도,포천,2015,28.06,62.91,0.0,0.04,0.03,0.52
경기도,포천,2016,25.33,55.08,0.0,0.03,0.02,0.5
경기도,포천,2017,29.08,48.17,0.0,0.03,0.02,0.48
경기도,포천,2018,25.08,40.58,0.0,0.03,0.01,0.43
경기도,포천,2019,24.58,46.33,0.0,0.03,0.02,0.47
경기도,포천,2020,19.67,40.25,0.0,0.03,0.01,0.44
경기도,포천,2021,19.5,33.92,0.0,0.03,0.01,0.4
경기도,포천,2022,18.55,29.27,0.0,0.03,0.01,0.34
경기도,하남,2015,23.0,48.75,0.0,0.02,0.03,0.52
경기도,하남,2016,21.67,52.25,0.0,0.02,0.04,0.52
