Unnamed: 0,District,City,year,pm25,pm10,so2,o3,no2,co,AVG
261,강원도,동해,2020,17.0,26.0,0.003,0.022,0.017,0.4,82.54
262,강원도,동해,2020,17.0,25.0,0.003,0.025,0.015,0.4,82.54
263,강원도,동해,2020,16.52,25.0,0.002,0.025,0.014,0.5,82.54
264,강원도,삼척,2010,27.182,43.0,0.01,0.027,0.019,0.7,78.85
265,강원도,삼척,2010,26.72,43.0,0.009,0.029,0.019,0.7,78.85
266,강원도,삼척,2010,34.499,63.0,0.007,0.033,0.017,0.6,78.85
267,강원도,삼척,2010,26.705,48.0,0.007,0.041,0.017,0.6,78.85
268,강원도,삼척,2010,26.937,52.0,0.005,0.043,0.013,0.4,78.85
269,강원도,삼척,2010,23.941,42.0,0.006,0.034,0.01,0.4,78.85
270,강원도,삼척,2010,19.283,32.0,0.003,0.023,0.01,0.3,78.85
271,강원도,삼척,2010,19.376,30.0,0.002,0.021,0.013,0.5,78.85
272,강원도,삼척,2010,16.39,23.0,0.003,0.022,0.012,0.5,78.85
273,강원도,삼척,2010,19.974,31.0,0.004,0.022,0.015,0.5,78.85
274,강원도,삼척,2010,33.003,57.0,0.007,0.027,0.018,0.7,78.85
275,강원도,삼척,2010,30.26,50.0,0.008,0.025,0.018,0.7,78.85
276,강원도,삼척,2011,25.248,41.0,0.008,0.027,0.018,0.6,79.41
277,강원도,삼척,2011,32.557,56.0,0.006,0.024,0.019,0.7,79.41
278,강원도,삼척,2011,35.294,66.0,0.007,0.038,0.017,0.6,79.41
279,강원도,삼척,2011,31.835,61.0,0.005,0.045,0.016,0.6,79.41
280,강원도,삼척,2011,33.594,66.0,0.003,0.039,0.017,0.5,79.41
281,강원도,삼척,2011,20.286,38.0,0.002,0.043,0.015,0.5,79.41
282,강원도,삼척,2011,17.766,28.0,0.001,0.025,0.013,0.5,79.41
283,강원도,삼척,2011,17.173,26.0,0.001,0.024,0.011,0.5,79.41
284,강원도,삼척,2011,17.51,28.0,0.002,0.031,0.011,0.5,79.41
285,강원도,삼척,2011,23.024,39.0,0.003,0.031,0.015,0.6,79.41
286,강원도,삼척,2011,25.805,43.0,0.005,0.025,0.017,0.6,79.41
287,강원도,삼척,2011,24.308,37.0,0.007,0.023,0.018,0.7,79.41
288,강원도,삼척,2012,29.802,49.0,0.008,0.025,0.018,0.7,80.04
289,강원도,삼척,2012,24.662,40.0,0.008,0.029,0.017,0.6,80.04
290,강원도,삼척,2012,26.907,47.0,0.006,0.039,0.017,0.7,80.04
291,강원도,삼척,2012,31.158,60.0,0.004,0.044,0.017,0.6,80.04
292,강원도,삼척,2012,25.115,49.0,0.003,0.045,0.017,0.5,80.04
293,강원도,삼척,2012,20.648,37.0,0.002,0.032,0.013,0.4,80.04
294,강원도,삼척,2012,19.482,32.0,0.002,0.028,0.013,0.5,80.04
295,강원도,삼척,2012,17.764,26.0,0.002,0.02,0.012,0.5,80.04
296,강원도,삼척,2012,17.07,26.0,0.002,0.026,0.012,0.5,80.04
297,강원도,삼척,2012,21.527,35.0,0.003,0.029,0.014,0.6,80.04
298,강원도,삼척,2012,24.89,41.0,0.004,0.023,0.017,0.6,80.04
299,강원도,삼척,2012,21.629,32.0,0.007,0.021,0.024,0.7,80.04
300,강원도,삼척,2013,31.287,51.0,0.007,0.022,0.02,0.8,80.49
301,강원도,삼척,2013,27.863,46.0,0.006,0.025,0.019,0.7,80.49
302,강원도,삼척,2013,32.321,57.0,0.005,0.028,0.019,0.7,80.49
303,강원도,삼척,2013,26.467,47.0,0.004,0.034,0.016,0.6,80.49
304,강원도,삼척,2013,24.857,47.0,0.003,0.042,0.014,0.5,80.49
305,강원도,삼척,2013,22.271,39.0,0.002,0.025,0.014,0.4,80.49
306,강원도,삼척,2013,21.35,38.0,0.001,0.027,0.014,0.4,80.49
307,강원도,삼척,2013,22.652,41.0,0.001,0.036,0.011,0.5,80.49
308,강원도,삼척,2013,20.947,33.0,0.002,0.025,0.013,0.6,80.49
309,강원도,삼척,2013,17.84,25.0,0.003,0.027,0.014,0.7,80.49
310,강원도,삼척,2013,22.566,29.0,0.005,0.027,0.016,1.1,80.49
311,강원도,삼척,2013,27.031,41.0,0.008,0.023,0.018,0.8,80.49
312,강원도,삼척,2014,31.152,50.0,0.008,0.023,0.018,0.8,80.95
313,강원도,삼척,2014,27.826,46.0,0.005,0.026,0.016,0.7,80.95
314,강원도,삼척,2014,32.072,60.0,0.005,0.039,0.016,0.6,80.95
315,강원도,삼척,2014,30.284,61.0,0.004,0.045,0.016,0.4,80.95
316,강원도,삼척,2014,32.574,68.0,0.004,0.049,0.014,0.3,80.95
317,강원도,삼척,2014,26.052,51.0,0.002,0.035,0.013,0.3,80.95
318,강원도,삼척,2014,24.789,47.0,0.002,0.034,0.015,0.4,80.95
319,강원도,삼척,2014,20.769,36.0,0.002,0.027,0.013,0.4,80.95
320,강원도,삼척,2014,17.882,28.0,0.002,0.026,0.013,0.5,80.95
321,강원도,삼척,2014,18.841,31.0,0.003,0.028,0.017,0.5,80.95
322,강원도,삼척,2014,20.887,30.0,0.004,0.021,0.022,0.8,80.95
323,강원도,삼척,2014,21.939,32.0,0.008,0.023,0.021,0.7,80.95
324,강원도,삼척,2015,24.096,36.0,0.007,0.023,0.022,0.8,81.36
325,강원도,삼척,2015,30.514,53.0,0.006,0.028,0.021,0.7,81.36
326,강원도,삼척,2015,30.181,55.0,0.005,0.035,0.023,0.7,81.36
327,강원도,삼척,2015,22.862,44.0,0.003,0.042,0.02,0.5,81.36
328,강원도,삼척,2015,25.171,52.0,0.003,0.048,0.02,0.4,81.36
329,강원도,삼척,2015,24.333,46.0,0.002,0.037,0.018,0.5,81.36
330,강원도,삼척,2015,21.49,38.0,0.002,0.026,0.016,0.4,81.36
331,강원도,삼척,2015,34.178,67.0,0.002,0.032,0.015,0.4,81.36
332,강원도,삼척,2015,14.601,20.0,0.002,0.017,0.013,0.4,81.36
333,강원도,삼척,2015,18.95,28.0,0.004,0.022,0.018,0.6,81.36
334,강원도,삼척,2015,22.753,36.0,0.005,0.021,0.02,0.6,81.36
