District,City,year,pm25,pm10,so2,o3,no2,co,Percentage
경상남도,진주,2019,17.333,38.667,0.003,0.032,0.014,0.5,0.87
경상남도,진주,2020,15.0,30.583,0.004,0.032,0.013,0.442,1.15
경상남도,창녕,2019,21.0,33.5,0.004,0.019,0.019,0.45,0.0
경상남도,창녕,2020,18.667,29.167,0.003,0.033,0.013,0.367,0.0
경상남도,창원,2015,26.167,45.667,0.004,0.029,0.021,0.467,0.0
경상남도,창원,2015,26.167,45.667,0.004,0.029,0.021,0.467,1.52
경상남도,창원,2016,25.583,46.167,0.004,0.029,0.021,0.475,0.0
경상남도,창원,2016,25.583,46.167,0.004,0.029,0.021,0.475,1.69
경상남도,창원,2017,24.5,45.083,0.005,0.034,0.021,0.467,0.0
경상남도,창원,2017,24.5,45.083,0.005,0.034,0.021,0.467,0.68
경상남도,창원,2018,21.0,44.333,0.004,0.031,0.02,0.45,0.0
경상남도,창원,2018,21.0,44.333,0.004,0.031,0.02,0.45,1.6
경상남도,창원,2019,19.167,40.167,0.004,0.032,0.02,0.458,0.0
경상남도,창원,2019,19.167,40.167,0.004,0.032,0.02,0.458,1.18
경상남도,창원,2020,16.083,28.583,0.003,0.032,0.017,0.417,0.0
경상남도,창원,2020,16.083,28.583,0.003,0.032,0.017,0.417,0.37
경상남도,통영,2018,20.5,41.417,0.003,0.034,0.016,0.317,1.48
경상남도,통영,2019,18.083,40.0,0.003,0.039,0.017,0.342,0.0
경상남도,통영,2020,12.667,27.417,0.003,0.036,0.015,0.3,0.0
경상남도,하동,2015,29.583,48.083,0.004,0.033,0.009,0.383,0.0
경상남도,하동,2016,23.583,44.833,0.004,0.032,0.01,0.375,0.0
경상남도,하동,2017,23.5,45.333,0.004,0.032,0.01,0.417,2.03
경상남도,하동,2018,15.917,32.75,0.004,0.032,0.01,0.358,0.0
경상남도,하동,2019,16.889,36.667,0.003,0.039,0.008,0.378,2.13
경상남도,하동,2020,13.5,27.917,0.003,0.037,0.009,0.383,0.0
경상남도,함안,2019,17.909,39.0,0.003,0.033,0.013,0.518,1.51
경상남도,함안,2020,17.333,28.833,0.003,0.031,0.011,0.417,0.0
경상남도,함양,2019,17.0,35.75,0.002,0.036,0.01,0.4,0.0
경상남도,함양,2020,16.417,27.75,0.002,0.035,0.009,0.4,0.0
경상남도,합천,2019,16.0,26.5,0.003,0.02,0.012,0.4,0.0
경상남도,합천,2020,14.417,25.0,0.003,0.032,0.009,0.342,0.0
경상북도,경산,2017,24.625,40.125,0.004,0.028,0.012,0.475,0.39
경상북도,경산,2018,25.25,42.583,0.004,0.027,0.011,0.508,1.54
경상북도,경산,2019,24.0,42.667,0.004,0.029,0.01,0.45,0.38
경상북도,경산,2020,21.5,35.083,0.004,0.03,0.008,0.417,0.76
경상북도,경주,2018,20.833,32.833,0.004,0.021,0.018,0.317,1.94
경상북도,경주,2019,20.083,36.417,0.004,0.029,0.015,0.342,0.0
경상북도,경주,2020,17.333,28.417,0.004,0.032,0.011,0.308,1.18
경상북도,고령,2019,15.667,28.667,0.003,0.025,0.01,0.4,0.0
경상북도,고령,2020,17.25,29.667,0.004,0.032,0.008,0.383,0.0
경상북도,구미,2016,21.125,34.75,0.004,0.03,0.018,0.55,0.24
경상북도,구미,2017,23.0,41.583,0.004,0.031,0.017,0.567,0.71
경상북도,구미,2018,25.417,48.833,0.003,0.03,0.017,0.492,0.71
경상북도,구미,2019,20.0,48.333,0.003,0.032,0.016,0.425,0.48
경상북도,구미,2020,18.75,35.833,0.003,0.032,0.015,0.425,0.24
경상북도,군위,2020,15.583,26.0,0.003,0.033,0.007,0.417,0.0
경상북도,김천,2015,29.667,40.5,0.004,0.028,0.015,0.417,0.0
경상북도,김천,2016,30.0,43.583,0.003,0.03,0.012,0.55,0.71
경상북도,김천,2017,24.75,40.833,0.003,0.028,0.012,0.508,0.0
경상북도,김천,2018,25.545,55.455,0.003,0.033,0.01,0.509,0.7
경상북도,김천,2019,23.417,43.833,0.002,0.035,0.012,0.4,0.71
경상북도,김천,2020,19.333,33.167,0.003,0.033,0.012,0.45,0.71
경상북도,문경,2020,16.818,28.636,0.004,0.032,0.014,0.309,1.39
경상북도,봉화,2019,12.625,19.75,0.008,0.031,0.006,0.312,0.0
경상북도,봉화,2020,13.167,21.417,0.008,0.032,0.007,0.383,0.0
경상북도,상주,2018,21.167,35.5,0.003,0.032,0.012,0.45,0.99
경상북도,상주,2019,23.909,39.545,0.003,0.035,0.012,0.409,0.0
경상북도,상주,2020,21.083,33.667,0.004,0.036,0.011,0.375,1.01
경상북도,성주,2020,18.5,27.9,0.002,0.029,0.015,0.48,0.0
경상북도,안동,2017,22.429,32.286,0.006,0.026,0.015,0.543,0.6
경상북도,안동,2018,25.727,38.0,0.004,0.029,0.013,0.582,1.22
경상북도,안동,2019,20.091,34.091,0.002,0.034,0.01,0.336,0.0
경상북도,안동,2020,17.5,30.75,0.003,0.032,0.012,0.425,0.63
경상북도,영덕,2019,18.0,28.0,0.002,0.031,0.008,0.4,5.3
경상북도,영덕,2020,13.75,23.917,0.002,0.037,0.005,0.3,0.0
경상북도,영양,2020,12.5,23.1,0.003,0.036,0.006,0.29,0.0
경상북도,영주,2017,27.091,42.818,0.005,0.03,0.014,0.664,0.0
경상북도,영주,2018,27.5,49.0,0.006,0.029,0.013,0.558,0.0
경상북도,영주,2019,25.25,57.917,0.004,0.03,0.016,0.483,2.83
경상북도,영주,2020,21.2,34.6,0.003,0.029,0.009,0.47,0.96
경상북도,영천,2019,21.667,39.167,0.004,0.033,0.015,0.467,0.0
경상북도,영천,2020,17.75,33.583,0.004,0.033,0.012,0.458,0.0
경상북도,예천,2020,15.1,29.2,0.003,0.039,0.008,0.28,0.0
경상북도,울진,2019,14.818,28.273,0.003,0.039,0.008,0.373,2.01
경상북도,울진,2020,11.417,24.917,0.003,0.037,0.007,0.392,2.04
경상북도,의성,2020,14.25,24.5,0.004,0.03,0.01,0.467,0.0
경상북도,청도,2020,17.273,28.545,0.003,0.033,0.009,0.336,0.0
경상북도,청송,2020,13.2,25.7,0.003,0.035,0.006,0.31,3.96
경상북도,칠곡,2018,21.5,37.0,0.004,0.028,0.018,0.392,1.67
경상북도,칠곡,2019,21.917,36.833,0.003,0.03,0.017,0.375,0.85
경상북도,칠곡,2020,20.333,33.5,0.003,0.03,0.013,0.342,0.0
경상북도,포항,2016,20.429,34.857,0.005,0.029,0.014,0.514,1.0
경상북도,포항,2017,21.417,38.0,0.005,0.032,0.014,0.525,1.15
경상북도,포항,2018,23.917,41.583,0.004,0.034,0.014,0.458,1.52
경상북도,포항,2019,19.667,39.167,0.004,0.035,0.015,0.442,0.42
경상북도,포항,2020,16.5,35.5,0.004,0.034,0.014,0.458,1.17
광주광역시,광주광역시,2015,26.0,41.583,0.003,0.028,0.019,0.475,0.0
광주광역시,광주광역시,2016,23.417,40.083,0.003,0.03,0.018,0.475,0.34
광주광역시,광주광역시,2017,24.167,40.417,0.002,0.03,0.019,0.45,0.41
광주광역시,광주광역시,2018,24.0,40.917,0.003,0.028,0.017,0.508,0.48
광주광역시,광주광역시,2019,23.5,42.0,0.003,0.03,0.018,0.458,0.55
광주광역시,광주광역시,2020,18.0,29.75,0.003,0.029,0.014,0.408,0.28
대구광역시,대구광역시,2015,25.417,45.583,0.003,0.026,0.021,0.417,0.04
대구광역시,대구광역시,2016,24.5,43.083,0.004,0.026,0.02,0.408,0.4
대구광역시,대구광역시,2017,22.75,41.917,0.003,0.029,0.02,0.442,0.4
대구광역시,대구광역시,2018,22.25,39.917,0.003,0.026,0.02,0.417,0.53
대구광역시,대구광역시,2019,22.5,39.0,0.003,0.029,0.019,0.458,0.24
대구광역시,대구광역시,2020,20.0,34.0,0.002,0.028,0.017,0.442,0.54
대전광역시,대전광역시,2015,28.333,45.25,0.004,0.025,0.019,0.475,0.07
대전광역시,대전광역시,2016,22.5,43.833,0.003,0.028,0.019,0.483,0.66
