District,City,year,pm25,pm10,so2,o3,no2,co
경상남도,거창,2018,,,,,,
경상남도,거창,2019,19.0,40.182,0.002,0.033,0.014,0.445
경상남도,거창,2020,18.917,29.917,0.002,0.033,0.012,0.392
경상남도,거창,2021,17.25,31.0,0.002,0.031,0.011,0.325
경상남도,거창,2022,14.778,26.556,0.002,0.032,0.012,0.382
경상남도,고성,2015,,,,,,
경상남도,고성,2016,,,,,,
경상남도,고성,2017,,,,,,
경상남도,고성,2018,,,,,,
경상남도,고성,2019,15.333,38.75,0.003,0.036,0.013,0.417
경상남도,고성,2020,12.917,26.083,0.003,0.037,0.011,0.4
경상남도,고성,2021,15.5,31.333,0.003,0.034,0.011,0.375
경상남도,고성,2022,13.545,26.0,0.003,0.037,0.011,0.409
경상남도,김해,2015,19.0,41.833,0.004,0.028,0.019,0.425
경상남도,김해,2016,22.417,38.167,0.004,0.027,0.021,0.417
경상남도,김해,2017,19.75,36.167,0.004,0.032,0.019,0.392
경상남도,김해,2018,20.083,39.0,0.004,0.029,0.021,0.4
경상남도,김해,2019,20.583,39.167,0.004,0.03,0.018,0.358
경상남도,김해,2020,16.833,30.083,0.003,0.033,0.016,0.375
경상남도,김해,2021,15.667,33.5,0.003,0.033,0.017,0.392
경상남도,김해,2022,15.364,27.364,0.003,0.034,0.016,0.409
경상남도,남해,2015,,,,,,
경상남도,남해,2016,,,,,,
경상남도,남해,2017,,,,,,
경상남도,남해,2018,,,,,,
경상남도,남해,2019,18.833,36.417,0.004,0.039,0.01,0.433
경상남도,남해,2020,14.833,27.2,0.003,0.036,0.009,0.458
경상남도,남해,2021,14.417,30.333,0.003,0.036,0.008,0.4
경상남도,남해,2022,12.909,21.636,0.003,0.037,0.008,0.455
경상남도,밀양,2015,,,,,,
경상남도,밀양,2016,,,,,,
경상남도,밀양,2017,,46.5,0.003,0.018,0.017,0.5
경상남도,밀양,2018,20.25,38.917,0.003,0.032,0.016,0.25
경상남도,밀양,2019,17.667,37.583,0.003,0.034,0.016,0.275
경상남도,밀양,2020,18.083,33.5,0.003,0.032,0.014,0.283
경상남도,밀양,2021,15.583,32.5,0.004,0.033,0.013,0.308
